,season,date_game,school_name,game_location,opp_name,game_type,game_result,gs,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
149,2019-20,2020-02-24,Kansas,,Oklahoma State,REG,W,0,22,3,5,.600,0,1,.000,3,4,.750,1,1,1.000,0,2,2,0,0,0,1,2,10
150,2019-20,2020-02-29,Kansas,@,Kansas State,REG,W,0,23,2,4,.500,0,0,,2,4,.500,0,0,,1,3,4,1,1,1,0,3,6
151,2019-20,2020-03-04,Kansas,,TCU,REG,W,0,20,2,6,.333,2,5,.400,0,1,.000,0,0,,1,3,4,0,1,0,1,2,4
152,2019-20,2020-03-07,Kansas,@,Texas Tech,REG,W,0,21,2,5,.400,2,4,.500,0,1,.000,1,1,1.000,2,2,4,0,1,0,0,3,5
154,2020-21,2020-11-26,Kansas,N,Gonzaga,REG,L,1,28,3,6,.500,1,3,.333,2,3,.667,0,2,.000,0,2,2,0,0,0,3,1,8
155,2020-21,2020-11-27,Kansas,N,St. Joseph's,REG,W,1,36,10,13,.769,5,5,1.000,5,8,.625,5,5,1.000,1,8,9,3,4,0,3,2,30
156,2020-21,2020-12-01,Kansas,N,Kentucky,REG,W,1,38,2,10,.200,2,6,.333,0,4,.000,4,8,.500,6,7,13,0,2,2,0,3,8
157,2020-21,2020-12-03,Kansas,,Washburn,REG,W,1,21,3,7,.429,0,2,.000,3,5,.600,0,0,,2,3,5,2,1,0,2,0,9
158,2020-21,2020-12-05,Kansas,,North Dakota State,REG,W,1,27,2,6,.333,1,4,.250,1,2,.500,4,4,1.000,2,4,6,0,0,1,3,3,9
159,2020-21,2020-12-08,Kansas,,Creighton,REG,W,1,37,5,13,.385,1,4,.250,4,9,.444,0,1,.000,0,4,4,6,3,0,0,3,14
160,2020-21,2020-12-11,Kansas,,Omaha,REG,W,1,18,2,6,.333,1,1,1.000,1,5,.200,0,0,,0,0,0,1,1,0,0,0,5
161,2020-21,2020-12-17,Kansas,@,Texas Tech,REG,W,1,30,0,5,.000,0,2,.000,0,3,.000,2,2,1.000,1,9,10,2,0,0,4,4,2
162,2020-21,2020-12-22,Kansas,,West Virginia,REG,W,1,35,7,14,.500,1,2,.500,6,12,.500,2,3,.667,1,3,4,7,1,1,2,2,22
163,2020-21,2021-01-02,Kansas,,Texas,REG,L,1,28,2,10,.200,2,5,.400,0,5,.000,0,0,,2,4,6,0,2,0,4,2,4
164,2020-21,2021-01-05,Kansas,@,TCU,REG,W,1,32,4,7,.571,2,3,.667,2,4,.500,0,0,,0,2,2,3,2,0,1,3,10
165,2020-21,2021-01-09,Kansas,,Oklahoma,REG,W,1,38,2,7,.286,1,1,1.000,1,6,.167,0,0,,1,8,9,2,0,1,1,2,5
166,2020-21,2021-01-12,Kansas,@,Oklahoma State,REG,L,1,25,3,7,.429,2,3,.667,1,4,.250,0,0,,1,2,3,0,1,1,1,1,7
167,2020-21,2021-01-18,Kansas,@,Baylor,REG,L,1,35,5,7,.714,0,1,.000,5,6,.833,2,2,1.000,1,3,4,1,0,0,0,0,17
168,2020-21,2021-01-23,Kansas,@,Oklahoma,REG,L,1,33,0,5,.000,0,2,.000,0,3,.000,2,2,1.000,0,1,1,1,1,0,0,2,2
169,2020-21,2021-01-28,Kansas,,TCU,REG,W,1,27,1,3,.333,0,1,.000,1,2,.500,2,2,1.000,1,4,5,0,1,0,1,1,5
170,2020-21,2021-01-30,Kansas,@,Tennessee,REG,L,1,22,0,4,.000,0,0,,0,4,.000,2,2,1.000,0,2,2,1,0,0,1,1,2
171,2020-21,2021-02-02,Kansas,,Kansas State,REG,W,1,31,6,11,.545,2,2,1.000,4,9,.444,2,2,1.000,1,3,4,2,1,0,0,1,18
172,2020-21,2021-02-06,Kansas,@,West Virginia,REG,L,1,35,3,11,.273,1,4,.250,2,7,.286,3,3,1.000,2,5,7,3,3,0,2,5,11
173,2020-21,2021-02-08,Kansas,,Oklahoma State,REG,W,1,32,4,7,.571,1,2,.500,3,5,.600,4,4,1.000,4,6,10,2,3,0,2,3,15
174,2020-21,2021-02-11,Kansas,,Iowa State,REG,W,1,29,6,12,.500,3,4,.750,3,8,.375,3,3,1.000,0,5,5,6,2,0,2,1,18
175,2020-21,2021-02-13,Kansas,@,Iowa State,REG,W,1,28,5,11,.455,4,6,.667,1,5,.200,0,0,,1,1,2,0,0,0,1,0,11
176,2020-21,2021-02-17,Kansas,@,Kansas State,REG,W,1,27,1,3,.333,1,1,1.000,0,2,.000,3,6,.500,0,3,3,1,2,1,2,1,5
177,2020-21,2021-02-20,Kansas,,Texas Tech,REG,W,1,36,3,13,.231,1,3,.333,2,10,.200,2,2,1.000,3,5,8,2,0,2,0,2,10
178,2020-21,2021-02-23,Kansas,@,Texas,REG,L,1,39,4,7,.571,2,3,.667,2,4,.500,0,0,,1,4,5,3,2,2,1,2,10
179,2020-21,2021-02-27,Kansas,,Baylor,REG,W,1,37,2,6,.333,2,3,.667,0,3,.000,7,9,.778,2,7,9,3,0,0,0,1,11
180,2020-21,2021-03-04,Kansas,,UTEP,REG,W,1,30,3,7,.429,3,6,.500,0,1,.000,0,0,,1,5,6,2,1,0,2,1,6
181,2020-21,2021-03-11,Kansas,,Oklahoma,CTOURN,W,1,28,0,4,.000,0,1,.000,0,3,.000,0,0,,0,3,3,0,1,1,0,1,0
182,2020-21,2021-03-20,Kansas,N,Eastern Washington,NCAA,W,1,39,2,11,.182,0,6,.000,2,5,.400,6,6,1.000,1,3,4,4,1,1,1,1,12
183,2020-21,2021-03-22,Kansas,N,USC,NCAA,L,1,33,2,9,.222,1,3,.333,1,6,.167,0,2,.000,0,4,4,0,2,0,0,1,5
185,2021-22,2021-11-09,Kansas,N,Michigan State,REG,W,1,34,3,7,.429,3,5,.600,0,2,.000,0,0,,0,8,8,2,1,0,2,2,6
186,2021-22,2021-11-12,Kansas,,Tarleton State,REG,W,1,31,6,10,.600,5,7,.714,1,3,.333,2,2,1.000,3,5,8,5,0,5,3,3,15
187,2021-22,2021-11-18,Kansas,,Stony Brook,REG,W,1,24,4,5,.800,3,4,.750,1,1,1.000,2,2,1.000,2,5,7,2,0,0,0,3,11
188,2021-22,2021-11-25,Kansas,N,North Texas,REG,W,1,30,6,8,.750,5,5,1.000,1,3,.333,3,3,1.000,1,4,5,0,1,0,4,1,16
189,2021-22,2021-11-26,Kansas,N,Dayton,REG,L,1,35,8,12,.667,8,11,.727,0,1,.000,1,2,.500,2,6,8,5,4,0,0,2,17
